steps,id,frequency,subProcessFrequency,ratio,avgDuration,activityNames,minTime,maxTime,totalCost,avgCost
7,1311839531,32382,0,0.36627492676085016,1688587854,"['Request created', 'Evaluating Request (NO registered letter)', 'Network Service Closure', 'BO Service Closure', 'Pending Request for Reservation Closure', 'Pending Liquidation Request', 'Request completed with account closure']",1494927362000,1551497692000,760977.0,23.5
7,-442488819,28825,0,0.3260414663665464,1564420364,"['Request created', 'Network Service Closure', 'Authorization Requested', 'BO Service Closure', 'Pending Request for Reservation Closure', 'Pending Liquidation Request', 'Request completed with account closure']",1494925833000,1551497705000,340423.249999941,11.81
7,358704624,4815,0,0.05446278093859223,1443235114,"['Request created', 'Evaluating Request (WITH registered letter)', 'Network Service Closure', 'BO Service Closure', 'Pending Request for Reservation Closure', 'Pending Liquidation Request', 'Request completed with account closure']",1494940247000,1551497711000,90570.14999999384,18.810000000000002
8,-587405032,4068,0,0.046013414923819974,2048154270,"['Request created', 'Network Service Closure', 'Authorization Requested', 'BO Service Closure', 'Pending Request for Reservation Closure', 'Pending Liquidation Request', 'Pending Request for acquittance of heirs', 'Request completed with account closure']",1495033026000,1551778726000,68383.07999999619,16.810000000000002
8,-323752684,2416,0,0.02732753452702779,1636936130,"['Request created', 'Network Service Closure', 'Authorization Requested', 'BO Service Closure', 'Pending Request for Reservation Closure', 'Pending Liquidation Request', 'Back-Office Adjustment Requested ', 'Request completed with account closure']",1495456765000,1551697551000,47860.95999999917,19.810000000000002
10,157952424,2096,0,0.023707993530070467,3253805830,"['Request created', 'Network Service Closure', 'Authorization Requested', 'BO Service Closure', 'Network Adjustment Requested', 'BO Service Closure', 'Pending Request for Reservation Closure', 'Pending Liquidation Request', 'Pending Request for acquittance of heirs', 'Request completed with account closure']",1495011513000,1551778502000,44665.75999999958,21.310000000000002
5,1133271940,2026,0,0.022916218936986053,679520709,"['Request created', 'BO Service Closure', 'Pending Request for Reservation Closure', 'Pending Liquidation Request', 'Request completed with account closure']",1498127110000,1551497718000,14182.0,7.0
6,1280190589,1783,0,0.020167629992421585,824335654,"['Request created', 'BO Service Closure', 'Pending Request for Reservation Closure', 'Pending Liquidation Request', 'Back-Office Adjustment Requested ', 'Request completed with account closure']",1495647203000,1551695717000,26745.0,15.0
8,-1774148682,1767,0,0.01998665294257372,3660530959,"['Request created', 'Evaluating Request (NO registered letter)', 'Network Service Closure', 'BO Service Closure', 'Pending Request for Reservation Closure', 'Pending Liquidation Request', 'Back-Office Adjustment Requested ', 'Request completed with account closure']",1493203235000,1551695419000,55660.5,31.5
9,-1388276355,1515,0,0.017136264407469827,3422333902,"['Request created', 'Network Service Closure', 'Authorization Requested', 'BO Service Closure', 'Network Adjustment Requested', 'BO Service Closure', 'Pending Request for Reservation Closure', 'Pending Liquidation Request', 'Request completed with account closure']",1494928399000,1551496991000,24709.6500000005,16.310000000000002
