caseid,startdate
201812009193,2018/12
201812009192,2018/12
201812009191,2018/12
201812009190,2018/12
201812009189,2018/12
201812009188,2018/12
201812009187,2018/12
201812009186,2018/12
201812009185,2018/12
201812009183,2018/12
201812009184,2018/12
201812009182,2018/12
201812009181,2018/12
201812009180,2018/12
201812009179,2018/12
201812009178,2018/12
201812009177,2018/12
201812009176,2018/12
201812009175,2018/12
201812009174,2018/12
201812009173,2018/12
201812009172,2018/12
201812009171,2018/12
201812009170,2018/12
201812009169,2018/12
201812009168,2018/12
201812009167,2018/12
201812009166,2018/12
201812009165,2018/12
201812009164,2018/12
201812009158,2018/12
201812009155,2018/12
201812009153,2018/12
201812009148,2018/12
201812009145,2018/12
201812009139,2018/12
201812009138,2018/12
201812009135,2018/12
201812009120,2018/12
201812009118,2018/12
201812009116,2018/12
201812009115,2018/12
201812009105,2018/12
201812009103,2018/12
201812009101,2018/12
201812009099,2018/12
201812009096,2018/12
201812009095,2018/12
201812009090,2018/12
201812009089,2018/12
201812009087,2018/12
201812009084,2018/12
201812009082,2018/12
201812009080,2018/12
201812009078,2018/12
201812009074,2018/12
201812009073,2018/12
201812009071,2018/12
201812009068,2018/12
201812009065,2018/12
201812009061,2018/12
201812009060,2018/12
201812009058,2019/01
201812009056,2018/12
201812009055,2018/12
201812009054,2018/12
201812009053,2018/12
201812009052,2018/12
201812009047,2018/12
201812009046,2018/12
201812009042,2018/12
201812009040,2018/12
201812009037,2018/12
201812009036,2018/12
201812009035,2018/12
201812009034,2018/12
201812009030,2018/12
201812009020,2018/12
201812009018,2018/12
201812009014,2018/12
201812009012,2018/12
201812009011,2018/12
201812009005,2018/12
201812009004,2018/12
201812009003,2018/12
201812009002,2018/12
201812009001,2018/12
201812009000,2018/12
201812008994,2018/12
201812008990,2018/12
201812008983,2018/12
201812008981,2018/12
201812008980,2018/12
201812008975,2018/12
201812008974,2018/12
201812008971,2018/12
201812008970,2018/12
201812008961,2018/12
201812008960,2018/12
201812008957,2019/01
201812008956,2018/12
201812008955,2019/01
201812008954,2019/01
201812008953,2019/01
201812008952,2018/12
201812008946,2018/12
201812008944,2018/12
201812008933,2018/12
201812008931,2018/12
201812008928,2018/12
201812008925,2018/12
201812008927,2018/12
201812008923,2018/12
201812008921,2018/12
201812008920,2018/12
201812008919,2018/12
201812008917,2018/12
201812008913,2018/12
201812008905,2019/01
201812008904,2018/12
201812008901,2018/12
201812008897,2018/12
201812008894,2018/12
201812008893,2018/12
201812008892,2018/12
201812008891,2018/12
201812008890,2019/01
201812008888,2018/12
201812008887,2018/12
201812008884,2018/12
201812008881,2018/12
201812008880,2019/01
201812008879,2018/12
201812008877,2018/12
201812008876,2018/12
201812008875,2018/12
201812008874,2018/12
201812008873,2018/12
201812008862,2018/12
201812008860,2018/12
201812008859,2018/12
201812008855,2018/12
201812008853,2018/12
201812008849,2018/12
201812008847,2018/12
201812008845,2018/12
201812008844,2018/12
201812008843,2018/12
201812008835,2018/12
201812008833,2018/12
201812008829,2018/12
201812008826,2018/12
201812008820,2018/12
201812008818,2018/12
201812008814,2019/01
201812008811,2018/12
201812008808,2018/12
201812008805,2018/12
201812008804,2018/12
201812008800,2018/12
201812008796,2018/12
201812008787,2018/12
201812008786,2018/12
201812008785,2018/12
201812008784,2018/12
201812008783,2018/12
201812008782,2018/12
201812008781,2018/12
201812008780,2018/12
201812008778,2018/12
201812008779,2018/12
201812008777,2018/12
201812008776,2018/12
201812008775,2018/12
201812008774,2018/12
201812008773,2018/12
201812008772,2018/12
201812008771,2018/12
201812008770,2018/12
201812008769,2018/12
201812008768,2018/12
201812008767,2018/12
201812008766,2018/12
201812008765,2018/12
201812008764,2018/12
201812008763,2018/12
201812008762,2018/12
201812008761,2018/12
201812008760,2018/12
201812008759,2018/12
201812008758,2018/12
201812008757,2018/12
201812008755,2018/12
201812008756,2018/12
201812008754,2018/12
201812008753,2018/12
201812008752,2018/12
201812008751,2018/12
201812008750,2018/12
201812008749,2018/12
201812008748,2018/12
201812008747,2018/12
201812008746,2018/12
201812008745,2018/12
201812008744,2018/12
201812008743,2018/12
201812008742,2018/12
201812008741,2018/12
201812008740,2018/12
201812008739,2018/12
201812008738,2018/12
201812008737,2018/12
201812008736,2018/12
201812008734,2018/12
201812008735,2018/12
201812008733,2018/12
201812008732,2018/12
201812008731,2018/12
201812008730,2018/12
201812008729,2018/12
201812008728,2018/12
201812008727,2018/12
201812008726,2018/12
201812008725,2018/12
201812008724,2018/12
201812008721,2018/12
201812008718,2018/12
201812008716,2018/12
201812008714,2018/12
201812008712,2018/12
201812008711,2018/12
201812008709,2018/12
201812008708,2018/12
201812008707,2018/12
201812008706,2018/12
201812008705,2018/12
201812008704,2018/12
201812008702,2018/12
201812008701,2018/12
201812008698,2018/12
201812008694,2018/12
201812008691,2018/12
201812008689,2018/12
201812008688,2018/12
201812008677,2018/12
201812008685,2018/12
201812008684,2018/12
201812008672,2018/12
201812008667,2018/12
201812008665,2018/12
201812008662,2018/12
201812008659,2018/12
201812008657,2019/01
201812008655,2018/12
201812008654,2018/12
201812008646,2018/12
201812008648,2018/12
201812008644,2018/12
201812008642,2018/12
201812008641,2018/12
201812008640,2018/12
201812008635,2018/12
201812008632,2018/12
201812008631,2018/12
201812008626,2018/12
201812008625,2018/12
201812008609,2018/12
201812008618,2018/12
201812008611,2018/12
201812008608,2018/12
201812008605,2018/12
201812008604,2018/12
201812008603,2018/12
201812008599,2018/12
201812008597,2018/12
201812008595,2018/12
201812008594,2018/12
201812008587,2018/12
201812008585,2018/12
201812008580,2018/12
201812008579,2018/12
201812008578,2018/12
201812008574,2018/12
201812008573,2018/12
201812008572,2018/12
201812008571,2018/12
201812008567,2018/12
201812008566,2018/12
201812008565,2018/12
201812008562,2018/12
201812008558,2018/12
201812008557,2018/12
201812008546,2018/12
201812008545,2018/12
201812008542,2018/12
201812008540,2018/12
201812008538,2018/12
201812008537,2018/12
201812008529,2018/12
201812008526,2018/12
201812008525,2018/12
201812008524,2018/12
201812008520,2019/01
201812008517,2018/12
201812008516,2018/12
201812008514,2018/12
201812008513,2018/12
201812008510,2018/12
201812008507,2018/12
201812008501,2018/12
201812008497,2018/12
201812008496,2018/12
201812008495,2018/12
201812008494,2018/12
201812008492,2018/12
201812008488,2018/12
201812008485,2018/12
201812008484,2018/12
201812008483,2018/12
201812008482,2018/12
201812008481,2018/12
201812008480,2018/12
201812008479,2018/12
201812008478,2018/12
201812008477,2018/12
201812008476,2018/12
201812008475,2018/12
201812008474,2018/12
201812008473,2018/12
201812008472,2018/12
201812008471,2018/12
201812008470,2018/12
201812008469,2018/12
201812008468,2018/12
201812008467,2018/12
201812008466,2018/12
201812008465,2018/12
201812008464,2018/12
201812008463,2018/12
201812008462,2018/12
201812008461,2018/12
201812008460,2018/12
201812008459,2018/12
201812008458,2018/12
201812008457,2018/12
201812008456,2018/12
201812008455,2018/12
201812008454,2018/12
201812008453,2018/12
201812008452,2018/12
201812008451,2018/12
201812008450,2018/12
201812008449,2018/12
201812008448,2018/12
201812008447,2018/12
201812008446,2018/12
201812008445,2018/12
201812008444,2018/12
201812008443,2018/12
201812008441,2018/12
201812008442,2018/12
201812008440,2018/12
201812008439,2018/12
201812008438,2018/12
201812008436,2018/12
201812008437,2018/12
201812008435,2018/12
201812008434,2018/12
201812008433,2018/12
201812008432,2018/12
201812008431,2018/12
201812008430,2018/12
201812008429,2018/12
201812008428,2018/12
201812008427,2018/12
201812008426,2018/12
201812008425,2018/12
201812008424,2018/12
201812008423,2018/12
201812008421,2018/12
201812008415,2018/12
201812008422,2018/12
201812008412,2018/12
201812008408,2018/12
201812008404,2018/12
201812008398,2018/12
201812008397,2018/12
201812008395,2018/12
201812008394,2018/12
201812008387,2018/12
201812008385,2018/12
201812008384,2018/12
201812008382,2018/12
201812008381,2018/12
201812008379,2018/12
201812008377,2018/12
201812008375,2018/12
201812008372,2018/12
201812008371,2018/12
201812008367,2018/12
201812008366,2018/12
201812008364,2018/12
201812008363,2018/12
201812008362,2018/12
201812008361,2018/12
201812008360,2018/12
201812008356,2018/12
201812008355,2018/12
201812008353,2018/12
201812008352,2018/12
201812008351,2018/12
201812008347,2018/12
201812008346,2018/12
201812008344,2018/12
201812008342,2018/12
201812008341,2018/12
201812008339,2018/12
201812008338,2018/12
201812008336,2018/12
201812008333,2018/12
201812008331,2018/12
201812008329,2018/12
201812008328,2019/01
201812008326,2018/12
201812008324,2018/12
201812008322,2018/12
201812008321,2018/12
201812008320,2018/12
201812008317,2018/12
201812008316,2018/12
201812008312,2018/12
201812008311,2018/12
201812008309,2018/12
201812008308,2018/12
201812008307,2018/12
201812008306,2018/12
201812008302,2018/12
201812008300,2018/12
201812008299,2018/12
201812008295,2018/12
201812008294,2018/12
201812008288,2018/12
201812008290,2018/12
201812008291,2018/12
201812008281,2018/12
201812008275,2019/01
201812008273,2018/12
201812008271,2018/12
201812008268,2018/12
201812008267,2018/12
201812008264,2018/12
201812008263,2018/12
201812008261,2018/12
201812008259,2018/12
201812008258,2018/12
201812008254,2018/12
201812008252,2018/12
201812008249,2018/12
201812008244,2018/12
201812008240,2018/12
201812008239,2018/12
201812008238,2018/12
201812008237,2018/12
201812008235,2018/12
201812008234,2018/12
201812008230,2018/12
201812008225,2018/12
201812008222,2018/12
201812008221,2018/12
201812008219,2018/12
201812008215,2018/12
201812008214,2018/12
201812008212,2018/12
201812008213,2018/12
201812008208,2018/12
201812008204,2018/12
201812008203,2018/12
201812008199,2018/12
201812008197,2018/12
201812008196,2018/12
201812008194,2018/12
201812008192,2018/12
201812008187,2018/12
201812008185,2018/12
201812008182,2018/12
201812008178,2018/12
201812008177,2018/12
201812008174,2018/12
201812008172,2018/12
201812008170,2018/12
201812008169,2018/12
201812008168,2018/12
201812008166,2018/12
201812008165,2018/12
201812008162,2018/12
201812008158,2018/12
201812008155,2018/12
201812008154,2018/12
201812008153,2018/12
201812008150,2018/12
201812008142,2018/12
201812008149,2018/12
201812008145,2018/12
201812008141,2018/12
201812008140,2018/12
201812008136,2018/12
201812008133,2018/12
201812008134,2018/12
201812008131,2018/12
201812008126,2018/12
201812008124,2018/12
201812008122,2018/12
201812008111,2018/12
201812008110,2018/12
201812008108,2018/12
201812008106,2018/12
201812008102,2018/12
201812008101,2018/12
201812008100,2018/12
201812008095,2018/12
201812008090,2018/12
201812008089,2018/12
201812008086,2018/12
201812008084,2018/12
201812008082,2018/12
201812008080,2018/12
201812008076,2018/12
201812008073,2018/12
201812008070,2018/12
201812008066,2018/12
201812008063,2018/12
201812008059,2018/12
201812008062,2018/12
201812008055,2018/12
201812008054,2018/12
201812008052,2018/12
201812008049,2018/12
201812008048,2018/12
201812008047,2018/12
201812008046,2018/12
201812008039,2018/12
201812008035,2018/12
201812008034,2018/12
201812008032,2018/12
201812008030,2018/12
201812008029,2018/12
201812008026,2018/12
201812008024,2018/12
201812008020,2018/12
201812008018,2018/12
201812008011,2018/12
201812008015,2018/12
201812008007,2018/12
201812008005,2018/12
201812008004,2018/12
201812007994,2018/12
201812007996,2018/12
201812007987,2018/12
201812007986,2018/12
201812007985,2018/12
201812007984,2018/12
201812007982,2018/12
201812007983,2018/12
201812007981,2018/12
201812007980,2018/12
201812007979,2018/12
201812007978,2018/12
201812007977,2018/12
201812007976,2018/12
201812007975,2018/12
201812007974,2018/12
201812007973,2018/12
201812007972,2018/12
201812007971,2018/12
201812007970,2018/12
201812007969,2018/12
201812007968,2018/12
201812007967,2018/12
201812007966,2018/12
201812007965,2018/12
201812007964,2018/12
201812007963,2018/12
201812007962,2018/12
201812007961,2018/12
201812007960,2018/12
201812007959,2018/12
201812007958,2018/12
201812007957,2018/12
201812007956,2018/12
201812007955,2018/12
201812007954,2018/12
201812007953,2018/12
201812007952,2018/12
201812007951,2018/12
201812007950,2018/12
201812007949,2018/12
201812007948,2018/12
201812007947,2018/12
201812007946,2018/12
201812007944,2018/12
201812007945,2018/12
201812007943,2018/12
201812007942,2018/12
201812007941,2018/12
201812007940,2018/12
201812007939,2018/12
201812007938,2018/12
201812007937,2018/12
201812007936,2018/12
201812007935,2018/12
201812007934,2018/12
201812007933,2018/12
201812007932,2018/12
201812007931,2018/12
201812007930,2018/12
201812007929,2018/12
201812007928,2018/12
201812007927,2018/12
201812007926,2018/12
201812007925,2018/12
201812007924,2018/12
201812007923,2018/12
201812007922,2018/12
201812007921,2018/12
201812007920,2018/12
201812007919,2018/12
201812007918,2018/12
201812007917,2018/12
201812007916,2018/12
201812007915,2018/12
201812007914,2018/12
201812007913,2018/12
201812007912,2018/12
201812007911,2018/12
201812007910,2018/12
201812007908,2018/12
201812007907,2018/12
201812007903,2018/12
201812007902,2018/12
201812007900,2018/12
201812007896,2018/12
201812007895,2018/12
201812007893,2018/12
201812007892,2018/12
201812007891,2018/12
201812007890,2018/12
201812007889,2018/12
201812007887,2018/12
201812007886,2018/12
201812007883,2018/12
201812007882,2019/02
201812007880,2018/12
201812007879,2018/12
201812007878,2018/12
201812007877,2018/12
201812007874,2018/12
201812007870,2018/12
201812007869,2018/12
201812007868,2018/12
201812007865,2018/12
201812007863,2018/12
201812007862,2018/12
201812007861,2018/12
201812007859,2018/12
201812007858,2018/12
201812007857,2018/12
201812007856,2018/12
201812007855,2018/12
201812007853,2018/12
201812007850,2018/12
201812007849,2018/12
201812007848,2018/12
201812007847,2018/12
201812007843,2018/12
201812007842,2018/12
201812007841,2018/12
201812007839,2018/12
201812007838,2018/12
201812007837,2018/12
201812007833,2018/12
201812007830,2018/12
201812007825,2018/12
201812007824,2018/12
201812007820,2018/12
201812007817,2018/12
201812007815,2018/12
201812007813,2018/12
201812007807,2018/12
201812007804,2018/12
201812007799,2018/12
201812007798,2018/12
201812007795,2018/12
201812007794,2018/12
201812007793,2018/12
201812007791,2018/12
201812007789,2018/12
201812007788,2018/12
201812007780,2018/12
201812007781,2018/12
201812007775,2018/12
201812007774,2018/12
201812007771,2018/12
201812007770,2018/12
201812007763,2018/12
201812007767,2018/12
201812007761,2018/12
201812007759,2018/12
201812007758,2018/12
201812007757,2018/12
201812007755,2018/12
201812007748,2018/12
201812007747,2018/12
201812007746,2018/12
201812007743,2018/12
201812007741,2018/12
201812007729,2019/01
201812007728,2018/12
201812007727,2018/12
201812007725,2018/12
201812007724,2018/12
201812007723,2018/12
201812007720,2018/12
201812007719,2018/12
201812007718,2018/12
201812007715,2018/12
201812007714,2018/12
201812007713,2018/12
201812007712,2018/12
201812007710,2018/12
201812007703,2018/12
201812007701,2018/12
201812007700,2018/12
201812007696,2018/12
201812007693,2018/12
201812007695,2018/12
201812007688,2018/12
201812007686,2018/12
201812007685,2018/12
201812007682,2018/12
201812007681,2018/12
201812007680,2018/12
201812007679,2019/01
201812007675,2018/12
201812007674,2018/12
201812007671,2018/12
201812007670,2018/12
201812007669,2018/12
201812007664,2018/12
201812007656,2018/12
201812007655,2018/12
201812007654,2018/12
201812007648,2018/12
201812007647,2018/12
201812007646,2018/12
201812007643,2018/12
201812007636,2018/12
201812007635,2018/12
201812007628,2018/12
201812007626,2018/12
201812007625,2018/12
201812007622,2018/12
201812007617,2018/12
201812007616,2018/12
201812007615,2018/12
201812007611,2018/12
201812007610,2018/12
201812007606,2018/12
201812007605,2018/12
201812007602,2018/12
201812007599,2018/12
201812007598,2018/12
201812007596,2019/01
201812007594,2018/12
201812007595,2018/12
201812007592,2018/12
201812007587,2018/12
201812007586,2018/12
201812007583,2018/12
201812007584,2018/12
201812007577,2018/12
201812007573,2018/12
201812007572,2018/12
201812007571,2018/12
201812007569,2018/12
201812007566,2018/12
201812007562,2018/12
201812007561,2018/12
201812007560,2018/12
201812007556,2018/12
201812007555,2018/12
201812007553,2018/12
201812007549,2018/12
201812007543,2018/12
201812007542,2018/12
201812007539,2018/12
201812007538,2018/12
201812007537,2018/12
201812007533,2018/12
201812007532,2018/12
201812007531,2018/12
201812007528,2018/12
201812007526,2018/12
201812007525,2018/12
201812007520,2019/01
201812007518,2019/02
201812007517,2018/12
201812007516,2018/12
201812007515,2018/12
201812007514,2018/12
201812007513,2018/12
201812007512,2018/12
201812007510,2018/12
201812007507,2018/12
201812007505,2018/12
201812007504,2018/12
201812007502,2018/12
201812007501,2018/12
201812007500,2018/12
201812007499,2018/12
201812007498,2018/12
201812007497,2018/12
201812007496,2018/12
201812007495,2018/12
201812007494,2018/12
201812007493,2018/12
201812007492,2018/12
201812007491,2018/12
201812007489,2018/12
201812007490,2018/12
201812007488,2018/12
201812007487,2018/12
201812007486,2018/12
201812007485,2018/12
201812007484,2018/12
201812007483,2018/12
201812007482,2018/12
201812007481,2018/12
201812007480,2018/12
201812007479,2018/12
201812007478,2018/12
201812007477,2018/12
201812007476,2018/12
201812007475,2018/12
201812007474,2018/12
201812007473,2018/12
201812007472,2018/12
201812007471,2018/12
201812007470,2018/12
201812007469,2018/12
201812007468,2018/12
201812007466,2018/12
201812007463,2018/12
201812007460,2018/12
201812007459,2018/12
201812007457,2018/12
201812007456,2018/12
201812007455,2018/12
201812007452,2018/12
201812007446,2018/12
201812007449,2018/12
201812007445,2018/12
201812007444,2018/12
201812007442,2018/12
201812007440,2018/12
201812007439,2018/12
201812007438,2018/12
201812007437,2018/12
201812007436,2018/12
201812007435,2018/12
201812007434,2018/12
201812007428,2018/12
201812007424,2018/12
201812007423,2018/12
201812007422,2018/12
201812007419,2018/12
201812007418,2018/12
201812007416,2018/12
201812007415,2018/12
201812007411,2018/12
201812007405,2018/12
201812007401,2018/12
201812007398,2018/12
201812007397,2018/12
201812007392,2018/12
201812007384,2018/12
201812007383,2018/12
201812007382,2018/12
201812007381,2018/12
201812007379,2018/12
201812007378,2018/12
201812007375,2018/12
201812007372,2018/12
201812007370,2018/12
201812007367,2018/12
201812007364,2018/12
201812007366,2018/12
201812007363,2018/12
201812007357,2018/12
201812007354,2018/12
201812007355,2018/12
201812007351,2018/12
201812007350,2018/12
201812007348,2018/12
201812007347,2018/12
201812007343,2018/12
201812007342,2018/12
201812007341,2018/12
201812007340,2018/12
201812007336,2018/12
201812007333,2018/12
201812007332,2018/12
201812007331,2018/12
201812007330,2018/12
201812007328,2018/12
201812007326,2018/12
201812007324,2018/12
201812007322,2018/12
201812007321,2018/12
201812007320,2018/12
201812007319,2018/12
201812007318,2018/12
201812007313,2018/12
201812007303,2018/12
201812007302,2018/12
201812007301,2018/12
201812007295,2018/12
201812007293,2018/12
201812007292,2018/12
201812007283,2018/12
201812007286,2018/12
201812007280,2018/12
201812007279,2018/12
201812007276,2018/12
201812007275,2018/12
201812007267,2018/12
201812007266,2018/12
201812007264,2018/12
201812007263,2018/12
201812007262,2018/12
201812007260,2018/12
201812007259,2018/12
201812007255,2018/12
201812007254,2018/12
201812007253,2018/12
201812007250,2018/12
201812007249,2018/12
201812007246,2018/12
201812007245,2018/12
201812007243,2018/12
201812007242,2018/12
201812007240,2018/12
201812007238,2018/12
201812007235,2018/12
201812007231,2019/01
201812007230,2018/12
201812007227,2019/01
201812007226,2018/12
201812007225,2018/12
201812007221,2018/12
201812007220,2018/12
201812007217,2018/12
201812007214,2018/12
201812007208,2019/01
201812007204,2018/12
201812007199,2018/12
201812007197,2018/12
201812007196,2018/12
201812007192,2018/12
201812007190,2018/12
201812007189,2018/12
201812007186,2018/12
201812007185,2018/12
201812007183,2018/12
201812007182,2018/12
201812007181,2018/12
201812007175,2018/12
201812007172,2018/12
201812007166,2018/12
201812007165,2018/12
201812007163,2018/12
201812007161,2018/12
201812007160,2018/12
201812007159,2018/12
201812007155,2018/12
201812007146,2018/12
201812007143,2018/12
201812007142,2018/12
201812007141,2018/12
201812007139,2018/12
201812007136,2018/12
201812007129,2018/12
201812007128,2018/12
201812007126,2018/12
201812007119,2018/12
201812007111,2018/12
201812007110,2018/12
201812007106,2018/12
201812007105,2018/12
201812007104,2018/12
201812007103,2018/12
201812007102,2018/12
201812007100,2018/12
201812007098,2018/12
201812007097,2018/12
201812007093,2018/12
201812007091,2018/12
201812007089,2018/12
201812007084,2018/12
201812007083,2018/12
201812007082,2018/12
201812007081,2018/12
201812007078,2018/12
201812007076,2018/12
201812007074,2018/12
201812007066,2018/12
201812007064,2018/12
201812007060,2018/12
201812007059,2018/12
201812007058,2018/12
201812007054,2018/12
201812007049,2018/12
201812007048,2018/12
201812007041,2018/12
201812007040,2018/12
201812007029,2018/12
201812007027,2018/12
201812007026,2018/12
201812007023,2018/12
201812007014,2018/12
201812007013,2018/12
201812007012,2018/12
201812007009,2018/12
201812007008,2018/12
201812007006,2018/12
201812007005,2018/12
201812007001,2018/12
201812007000,2018/12
201812006997,2018/12
201812006991,2018/12
201812006990,2018/12
201812006988,2018/12
201812006986,2018/12
201812006984,2018/12
201812006983,2018/12
201812006982,2018/12
201812006981,2018/12
201812006980,2018/12
201812006979,2018/12
201812006978,2018/12
201812006977,2018/12
201812006976,2018/12
201812006975,2018/12
201812006974,2018/12
201812006973,2018/12
201812006972,2018/12
201812006971,2018/12
201812006970,2018/12
201812006969,2018/12
201812006968,2018/12
201812006967,2018/12
201812006966,2018/12
201812006965,2018/12
201812006964,2018/12
201812006963,2018/12
201812006962,2018/12
201812006961,2018/12
201812006960,2018/12
201812006959,2018/12
201812006958,2018/12
201812006957,2018/12
201812006956,2018/12
201812006955,2018/12
201812006954,2018/12
201812006951,2018/12
201812006952,2018/12
201812006953,2018/12
201812006950,2018/12
201812006949,2018/12
201812006948,2018/12
201812006947,2018/12
201812006946,2018/12
201812006945,2018/12
201812006944,2018/12
201812006943,2018/12
201812006942,2018/12
201812006941,2018/12
201812006940,2018/12
201812006939,2018/12
201812006938,2018/12
201812006937,2018/12
201812006936,2018/12
201812006935,2018/12
201812006934,2018/12
201812006933,2018/12
201812006932,2018/12
201812006931,2018/12
201812006930,2018/12
201812006929,2018/12
201812006927,2018/12
201812006924,2018/12
201812006917,2018/12
201812006916,2018/12
201812006915,2018/12
201812006913,2018/12
201812006912,2018/12
201812006908,2018/12
201812006907,2018/12
201812006904,2018/12
201812006901,2018/12
201812006899,2018/12
201812006897,2018/12
201812006896,2018/12
201812006894,2018/12
201812006889,2018/12
201812006886,2018/12
201812006885,2018/12
201812006882,2019/02
201812006880,2018/12
201812006877,2018/12
201812006872,2018/12
201812006870,2018/12
201812006858,2018/12
201812006857,2018/12
201812006850,2019/01
201812006848,2018/12
201812006844,2018/12
201812006843,2018/12
201812006838,2018/12
201812006837,2018/12
201812006836,2018/12
201812006828,2018/12
201812006827,2018/12
201812006826,2018/12
201812006824,2018/12
201812006825,2018/12
201812006823,2018/12
201812006820,2018/12
201812006818,2018/12
201812006817,2018/12
201812006815,2018/12
201812006812,2018/12
201812006804,2018/12
201812006799,2018/12
201812006798,2018/12
201812006796,2018/12
201812006795,2018/12
201812006794,2018/12
201812006793,2018/12
201812006785,2018/12
201812006784,2018/12
201812006783,2018/12
201812006773,2018/12
201812006771,2018/12
201812006768,2018/12
201812006766,2018/12
201812006761,2018/12
201812006760,2019/02
201812006759,2018/12
201812006755,2018/12
