caseid,closure_type,closure_reason
201812009471,Client Recess,1 - Client lost
201812009470,Client Recess,
201812009469,Client Recess,1 - Client lost
201812009468,Client Recess,1 - Client lost
201812009467,Client Recess,
201812009465,Bank Recess,1 - Client lost
201812009464,Inheritance,
201812009463,Inheritance,
201812009460,Inheritance,
201812009462,Client Recess,
201812009461,Bank Recess,1 - Client lost
201812009454,Inheritance,
201812009453,Client Recess,1 - Client lost
201812009448,Bank Recess,1 - Client lost
201812009449,Client Recess,1 - Client lost
201812009446,Inheritance,
201812009444,Inheritance,
201812009441,Client Recess,1 - Client lost
201812009443,Client Recess,1 - Client lost
201812009435,Client Recess,1 - Client lost
201812009434,Client Recess,1 - Client lost
201812009433,Client Recess,2 - Keep bank account. Same dip
201812009430,Bank Recess,1 - Client lost
201812009424,Client Recess,1 - Client lost
201812009423,Inheritance,
201812009417,Client Recess,1 - Client lost
201812009415,Client Recess,1 - Client lost
201812009407,Client Recess,1 - Client lost
201812009400,Client Recess,1 - Client lost
201812009396,Client Recess,1 - Client lost
201812009395,Client Recess,7 - Keep other relationships. Same dip
201812009394,Client Recess,1 - Client lost
201812009393,Bank Recess,1 - Client lost
201812009391,Client Recess,1 - Client lost
201812009390,Bank Recess,1 - Client lost
201812009389,Client Recess,1 - Client lost
201812009383,Client Recess,1 - Client lost
201812009381,Client Recess,1 - Client lost
201812009380,Bank Recess,1 - Client lost
201812009376,Bank Recess,
201812009375,Client Recess,1 - Client lost
201812009374,Client Recess,2 - Keep bank account. Same dip
201812009373,Bank Recess,1 - Client lost
201812009371,Inheritance,
201812009369,Client Recess,1 - Client lost
201812009366,Client Recess,1 - Client lost
201812009365,Client Recess,1 - Client lost
201812009363,Bank Recess,1 - Client lost
201812009358,Client Recess,2 - Keep bank account. Same dip
201812009356,Client Recess,1 - Client lost
201812009345,Client Recess,1 - Client lost
201812009353,Client Recess,2 - Keep bank account. Same dip
201812009351,Client Recess,1 - Client lost
201812009349,Client Recess,2 - Keep bank account. Same dip
201812009348,Client Recess,2 - Keep bank account. Same dip
201812009347,Client Recess,1 - Client lost
201812009346,Client Recess,1 - Client lost
201812009341,Client Recess,1 - Client lost
201812009338,Client Recess,2 - Keep bank account. Same dip
201812009335,Client Recess,1 - Client lost
201812009334,Client Recess,2 - Keep bank account. Same dip
201812009333,Client Recess,1 - Client lost
201812009330,Inheritance,
201812009328,Client Recess,2 - Keep bank account. Same dip
201812009327,Client Recess,2 - Keep bank account. Same dip
201812009326,Bank Recess,1 - Client lost
201812009325,Client Recess,1 - Client lost
201812009315,Client Recess,
201812009312,Client Recess,1 - Client lost
201812009309,Client Recess,1 - Client lost
201812009308,Client Recess,1 - Client lost
201812009306,Client Recess,7 - Keep other relationships. Same dip
201812009305,Inheritance,
201812009304,Client Recess,2 - Keep bank account. Same dip
201812009303,Client Recess,1 - Client lost
201812009302,Inheritance,
201812009300,Client Recess,1 - Client lost
201812009299,Client Recess,1 - Client lost
201812009294,Client Recess,
201812009290,Client Recess,2 - Keep bank account. Same dip
201812009289,Bank Recess,1 - Client lost
201812009286,Client Recess,1 - Client lost
201812009283,Client Recess,1 - Client lost
201812009279,Client Recess,2 - Keep bank account. Same dip
201812009276,Client Recess,1 - Client lost
201812009273,Client Recess,1 - Client lost
201812009270,Bank Recess,
201812009269,Client Recess,1 - Client lost
201812009266,Client Recess,1 - Client lost
201812009265,Client Recess,1 - Client lost
201812009263,Client Recess,1 - Client lost
201812009258,Client Recess,1 - Client lost
201812009262,Bank Recess,1 - Client lost
201812009257,Client Recess,1 - Client lost
201812009250,Client Recess,1 - Client lost
201812009256,Client Recess,1 - Client lost
201812009249,Client Recess,1 - Client lost
201812009248,Client Recess,1 - Client lost
201812009247,Client Recess,1 - Client lost
201812009246,Inheritance,
201812009245,Client Recess,1 - Client lost
201812009243,Client Recess,2 - Keep bank account. Same dip
201812009242,Client Recess,2 - Keep bank account. Same dip
201812009239,Client Recess,1 - Client lost
201812009238,Inheritance,
201812009236,Client Recess,1 - Client lost
201812009231,Client Recess,
201812009230,Client Recess,1 - Client lost
201812009229,Client Recess,2 - Keep bank account. Same dip
201812009224,Inheritance,
201812009221,Bank Recess,1 - Client lost
201812009218,Bank Recess,1 - Client lost
201812009216,Client Recess,
201812009215,Client Recess,
201812009214,Client Recess,
201812009213,Client Recess,
201812009212,Client Recess,
201812009211,Client Recess,
201812009210,Client Recess,
201812009209,Client Recess,
201812009208,Client Recess,
201812009207,Client Recess,
201812009206,Client Recess,
201812009205,Client Recess,
201812009204,Client Recess,
201812009203,Client Recess,
201812009202,Client Recess,
201812009201,Client Recess,
201812009200,Client Recess,
201812009199,Client Recess,
201812009198,Client Recess,
201812009197,Client Recess,
201812009196,Client Recess,
201812009195,Client Recess,
201812009194,Client Recess,
201812009193,Client Recess,
201812009191,Client Recess,
201812009192,Client Recess,
201812009190,Client Recess,
201812009189,Client Recess,
201812009188,Client Recess,
201812009187,Client Recess,
201812009186,Client Recess,
201812009185,Client Recess,
201812009184,Client Recess,
201812009183,Client Recess,
201812009182,Client Recess,
201812009181,Client Recess,
201812009179,Client Recess,
201812009180,Client Recess,
201812009178,Client Recess,
201812009177,Client Recess,
201812009176,Client Recess,
201812009175,Client Recess,
201812009174,Client Recess,
201812009173,Client Recess,
201812009172,Client Recess,
201812009171,Client Recess,
201812009170,Client Recess,
201812009169,Client Recess,
201812009168,Client Recess,
201812009167,Client Recess,
201812009166,Client Recess,
201812009165,Client Recess,
201812009164,Client Recess,
201812009158,Bank Recess,1 - Client lost
201812009155,Client Recess,1 - Client lost
201812009153,Client Recess,1 - Client lost
201812009148,Bank Recess,1 - Client lost
201812009145,Client Recess,1 - Client lost
201812009143,Client Recess,1 - Client lost
201812009139,Bank Recess,1 - Client lost
201812009135,Client Recess,1 - Client lost
201812009138,Client Recess,2 - Keep bank account. Same dip
201812009133,Client Recess,1 - Client lost
201812009125,Bank Recess,1 - Client lost
201812009120,Client Recess,1 - Client lost
201812009114,Bank Recess,1 - Client lost
201812009118,Client Recess,1 - Client lost
201812009116,Inheritance,
201812009115,Client Recess,1 - Client lost
201812009105,Inheritance,
201812009103,Client Recess,1 - Client lost
201812009101,Client Recess,1 - Client lost
201812009099,Client Recess,1 - Client lost
201812009097,Client Recess,1 - Client lost
201812009096,Client Recess,1 - Client lost
201812009095,Client Recess,1 - Client lost
201812009090,Client Recess,1 - Client lost
201812009089,Client Recess,7 - Keep other relationships. Same dip
201812009087,Client Recess,2 - Keep bank account. Same dip
201812009084,Client Recess,2 - Keep bank account. Same dip
201812009082,Bank Recess,1 - Client lost
201812009081,Client Recess,2 - Keep bank account. Same dip
201812009080,Bank Recess,1 - Client lost
201812009078,Bank Recess,1 - Client lost
201812009074,Client Recess,1 - Client lost
201812009073,Client Recess,1 - Client lost
201812009071,Client Recess,1 - Client lost
201812009068,Bank Recess,1 - Client lost
201812009065,Client Recess,1 - Client lost
201812009062,Client Recess,4 - Open new bank account. Same dip
201812009061,Bank Recess,1 - Client lost
201812009060,Client Recess,7 - Keep other relationships. Same dip
201812009058,Client Recess,8 - Keep other relationships. Different dip
201812009056,Bank Recess,1 - Client lost
201812009055,Bank Recess,1 - Client lost
201812009054,Bank Recess,1 - Client lost
201812009053,Client Recess,1 - Client lost
201812009052,Bank Recess,1 - Client lost
201812009047,Client Recess,1 - Client lost
201812009046,Client Recess,1 - Client lost
201812009042,Client Recess,1 - Client lost
201812009040,Client Recess,1 - Client lost
201812009037,Client Recess,1 - Client lost
201812009036,Bank Recess,1 - Client lost
201812009035,Client Recess,1 - Client lost
201812009034,Client Recess,1 - Client lost
201812009030,Client Recess,1 - Client lost
201812009020,Client Recess,7 - Keep other relationships. Same dip
201812009018,Client Recess,1 - Client lost
201812009014,Client Recess,1 - Client lost
201812009012,Client Recess,1 - Client lost
201812009011,Client Recess,1 - Client lost
201812009005,Client Recess,1 - Client lost
201812009004,Client Recess,1 - Client lost
201812009003,Bank Recess,1 - Client lost
201812009002,Client Recess,2 - Keep bank account. Same dip
201812009001,Client Recess,1 - Client lost
201812009000,Client Recess,2 - Keep bank account. Same dip
201812008994,Client Recess,1 - Client lost
201812008991,Client Recess,1 - Client lost
201812008990,Client Recess,1 - Client lost
201812008989,Client Recess,
201812008983,Client Recess,1 - Client lost
201812008981,Client Recess,1 - Client lost
201812008980,Client Recess,4 - Open new bank account. Same dip
201812008976,Client Recess,1 - Client lost
201812008975,Client Recess,2 - Keep bank account. Same dip
201812008974,Client Recess,2 - Keep bank account. Same dip
201812008971,Inheritance,
201812008970,Client Recess,1 - Client lost
201812008961,Client Recess,2 - Keep bank account. Same dip
201812008960,Client Recess,1 - Client lost
201812008957,Client Recess,1 - Client lost
201812008956,Client Recess,1 - Client lost
201812008955,Client Recess,1 - Client lost
201812008954,Client Recess,1 - Client lost
201812008953,Client Recess,1 - Client lost
201812008952,Bank Recess,1 - Client lost
201812008949,Bank Recess,1 - Client lost
201812008946,Client Recess,1 - Client lost
201812008944,Client Recess,1 - Client lost
201812008933,Client Recess,2 - Keep bank account. Same dip
201812008931,Client Recess,7 - Keep other relationships. Same dip
201812008928,Client Recess,1 - Client lost
201812008927,Client Recess,1 - Client lost
201812008926,Client Recess,
201812008925,Bank Recess,1 - Client lost
201812008923,Client Recess,1 - Client lost
201812008921,Client Recess,1 - Client lost
201812008920,Client Recess,1 - Client lost
201812008919,Client Recess,1 - Client lost
201812008917,Client Recess,1 - Client lost
201812008916,Bank Recess,1 - Client lost
201812008905,Client Recess,1 - Client lost
201812008913,Bank Recess,1 - Client lost
201812008904,Client Recess,1 - Client lost
201812008901,Bank Recess,1 - Client lost
201812008900,Client Recess,1 - Client lost
201812008897,Client Recess,1 - Client lost
201812008894,Client Recess,1 - Client lost
201812008893,Bank Recess,1 - Client lost
201812008892,Bank Recess,1 - Client lost
201812008891,Client Recess,
201812008890,Client Recess,1 - Client lost
201812008888,Bank Recess,1 - Client lost
201812008887,Client Recess,1 - Client lost
201812008884,Client Recess,1 - Client lost
201812008881,Client Recess,7 - Keep other relationships. Same dip
201812008880,Client Recess,2 - Keep bank account. Same dip
201812008879,Client Recess,1 - Client lost
201812008877,Client Recess,1 - Client lost
201812008876,Client Recess,1 - Client lost
201812008875,Client Recess,1 - Client lost
201812008874,Client Recess,1 - Client lost
201812008873,Client Recess,1 - Client lost
201812008864,Client Recess,7 - Keep other relationships. Same dip
201812008862,Inheritance,
201812008860,Client Recess,1 - Client lost
201812008859,Client Recess,1 - Client lost
201812008855,Client Recess,3 - Keep bank account. Different dip
201812008849,Client Recess,1 - Client lost
201812008853,Client Recess,1 - Client lost
201812008848,Client Recess,
201812008847,Client Recess,1 - Client lost
201812008845,Client Recess,1 - Client lost
201812008844,Client Recess,1 - Client lost
201812008843,Client Recess,7 - Keep other relationships. Same dip
201812008838,Client Recess,1 - Client lost
201812008835,Client Recess,2 - Keep bank account. Same dip
201812008833,Client Recess,1 - Client lost
201812008829,Client Recess,1 - Client lost
201812008826,Client Recess,1 - Client lost
201812008820,Bank Recess,1 - Client lost
201812008818,Client Recess,2 - Keep bank account. Same dip
201812008815,Client Recess,2 - Keep bank account. Same dip
201812008814,Client Recess,1 - Client lost
201812008811,Client Recess,4 - Open new bank account. Same dip
201812008808,Client Recess,2 - Keep bank account. Same dip
201812008805,Client Recess,2 - Keep bank account. Same dip
201812008804,Client Recess,2 - Keep bank account. Same dip
201812008803,Client Recess,7 - Keep other relationships. Same dip
201812008801,Client Recess,1 - Client lost
201812008800,Client Recess,1 - Client lost
201812008796,Client Recess,2 - Keep bank account. Same dip
201812008790,Bank Recess,1 - Client lost
201812008787,Client Recess,
201812008786,Client Recess,
201812008785,Client Recess,
201812008784,Client Recess,
201812008783,Client Recess,
201812008782,Client Recess,
201812008781,Client Recess,
201812008780,Client Recess,
201812008779,Client Recess,
201812008778,Client Recess,
201812008777,Client Recess,
201812008776,Client Recess,
201812008775,Client Recess,
201812008773,Client Recess,
201812008774,Client Recess,
201812008772,Client Recess,
201812008771,Client Recess,
201812008770,Client Recess,
201812008769,Client Recess,
201812008768,Client Recess,
201812008767,Client Recess,
201812008766,Client Recess,
201812008765,Client Recess,
201812008761,Client Recess,
201812008764,Client Recess,
201812008763,Client Recess,
201812008762,Client Recess,
201812008760,Client Recess,
201812008759,Client Recess,
201812008758,Client Recess,
201812008757,Client Recess,
201812008756,Client Recess,
201812008755,Client Recess,
201812008754,Client Recess,
201812008753,Client Recess,
201812008752,Client Recess,
201812008751,Client Recess,
201812008750,Client Recess,
201812008749,Client Recess,
201812008748,Client Recess,
201812008747,Client Recess,
201812008746,Client Recess,
201812008745,Client Recess,
201812008744,Client Recess,
201812008743,Client Recess,
201812008742,Client Recess,
201812008741,Client Recess,
201812008740,Client Recess,
201812008739,Client Recess,
201812008738,Client Recess,
201812008737,Client Recess,
201812008736,Client Recess,
201812008735,Client Recess,
201812008734,Client Recess,
201812008733,Client Recess,
201812008732,Client Recess,
201812008731,Client Recess,
201812008730,Client Recess,
201812008729,Client Recess,
201812008728,Client Recess,
201812008727,Client Recess,
201812008726,Client Recess,
201812008725,Client Recess,
201812008724,Client Recess,
201812008721,Bank Recess,1 - Client lost
201812008715,Bank Recess,1 - Client lost
201812008718,Client Recess,1 - Client lost
201812008716,Client Recess,
201812008714,Client Recess,1 - Client lost
201812008712,Bank Recess,
201812008711,Client Recess,1 - Client lost
201812008709,Bank Recess,1 - Client lost
201812008708,Client Recess,
201812008707,Client Recess,2 - Keep bank account. Same dip
201812008706,Client Recess,1 - Client lost
201812008705,Client Recess,1 - Client lost
201812008704,Bank Recess,1 - Client lost
201812008702,Client Recess,
201812008701,Client Recess,7 - Keep other relationships. Same dip
201812008698,Bank Recess,1 - Client lost
201812008694,Bank Recess,1 - Client lost
201812008691,Client Recess,1 - Client lost
201812008690,Client Recess,1 - Client lost
201812008689,Client Recess,1 - Client lost
201812008688,Bank Recess,1 - Client lost
201812008685,Client Recess,7 - Keep other relationships. Same dip
201812008684,Client Recess,1 - Client lost
201812008682,Bank Recess,1 - Client lost
201812008681,Bank Recess,1 - Client lost
201812008678,Bank Recess,1 - Client lost
201812008677,Client Recess,2 - Keep bank account. Same dip
201812008672,Client Recess,1 - Client lost
201812008667,Client Recess,1 - Client lost
201812008665,Client Recess,1 - Client lost
201812008662,Client Recess,1 - Client lost
201812008659,Client Recess,2 - Keep bank account. Same dip
201812008657,Client Recess,1 - Client lost
201812008648,Client Recess,1 - Client lost
201812008655,Bank Recess,1 - Client lost
201812008654,Bank Recess,1 - Client lost
201812008646,Client Recess,1 - Client lost
201812008644,Client Recess,1 - Client lost
201812008642,Client Recess,2 - Keep bank account. Same dip
201812008641,Client Recess,1 - Client lost
201812008640,Client Recess,4 - Open new bank account. Same dip
201812008639,Client Recess,1 - Client lost
201812008635,Client Recess,1 - Client lost
201812008632,Client Recess,2 - Keep bank account. Same dip
201812008631,Client Recess,1 - Client lost
201812008628,Bank Recess,1 - Client lost
201812008625,Client Recess,7 - Keep other relationships. Same dip
201812008626,Client Recess,2 - Keep bank account. Same dip
201812008623,Client Recess,7 - Keep other relationships. Same dip
201812008618,Client Recess,1 - Client lost
201812008617,Client Recess,7 - Keep other relationships. Same dip
201812008611,Client Recess,1 - Client lost
201812008609,Client Recess,2 - Keep bank account. Same dip
201812008608,Client Recess,1 - Client lost
201812008605,Bank Recess,1 - Client lost
201812008604,Client Recess,1 - Client lost
201812008603,Client Recess,2 - Keep bank account. Same dip
201812008599,Client Recess,1 - Client lost
201812008597,Bank Recess,1 - Client lost
201812008595,Bank Recess,1 - Client lost
201812008594,Client Recess,1 - Client lost
201812008587,Client Recess,7 - Keep other relationships. Same dip
201812008585,Bank Recess,1 - Client lost
201812008580,Client Recess,1 - Client lost
201812008579,Client Recess,1 - Client lost
201812008578,Bank Recess,1 - Client lost
201812008574,Client Recess,1 - Client lost
201812008573,Client Recess,1 - Client lost
201812008572,Client Recess,1 - Client lost
201812008571,Client Recess,1 - Client lost
201812008567,Client Recess,1 - Client lost
201812008566,Client Recess,1 - Client lost
201812008565,Client Recess,1 - Client lost
201812008562,Client Recess,1 - Client lost
201812008558,Client Recess,2 - Keep bank account. Same dip
201812008557,Client Recess,1 - Client lost
201812008556,Bank Recess,
201812008549,Bank Recess,1 - Client lost
201812008547,Client Recess,1 - Client lost
201812008546,Client Recess,2 - Keep bank account. Same dip
201812008545,Bank Recess,1 - Client lost
201812008544,Bank Recess,1 - Client lost
201812008540,Client Recess,1 - Client lost
201812008542,Client Recess,1 - Client lost
201812008538,Client Recess,1 - Client lost
201812008537,Client Recess,2 - Keep bank account. Same dip
201812008529,Client Recess,1 - Client lost
201812008526,Client Recess,1 - Client lost
201812008525,Client Recess,1 - Client lost
201812008524,Client Recess,1 - Client lost
201812008520,Bank Recess,1 - Client lost
201812008517,Client Recess,2 - Keep bank account. Same dip
201812008516,Client Recess,1 - Client lost
201812008514,Client Recess,1 - Client lost
201812008513,Bank Recess,1 - Client lost
201812008510,Bank Recess,1 - Client lost
201812008507,Client Recess,1 - Client lost
201812008501,Client Recess,1 - Client lost
201812008499,Client Recess,2 - Keep bank account. Same dip
201812008497,Client Recess,1 - Client lost
201812008496,Client Recess,1 - Client lost
201812008495,Client Recess,1 - Client lost
201812008494,Client Recess,1 - Client lost
201812008492,Client Recess,1 - Client lost
201812008490,Bank Recess,1 - Client lost
201812008488,Bank Recess,1 - Client lost
201812008484,Client Recess,
201812008485,Client Recess,
201812008483,Client Recess,
201812008482,Client Recess,
201812008480,Client Recess,
201812008481,Client Recess,
201812008479,Client Recess,
201812008478,Client Recess,
201812008475,Client Recess,
201812008477,Client Recess,
201812008476,Client Recess,
201812008474,Client Recess,
201812008473,Client Recess,
201812008471,Client Recess,
201812008472,Client Recess,
201812008470,Client Recess,
201812008469,Client Recess,
201812008468,Client Recess,
201812008467,Client Recess,
201812008466,Client Recess,
201812008465,Client Recess,
201812008464,Client Recess,
201812008463,Client Recess,
201812008462,Client Recess,
201812008461,Client Recess,
201812008460,Client Recess,
201812008459,Client Recess,
201812008458,Client Recess,
201812008457,Client Recess,
201812008456,Client Recess,
201812008455,Client Recess,
201812008454,Client Recess,
201812008453,Client Recess,
201812008452,Client Recess,
201812008451,Client Recess,
201812008450,Client Recess,
201812008449,Client Recess,
201812008448,Client Recess,
201812008447,Client Recess,
201812008446,Client Recess,
201812008445,Client Recess,
201812008444,Client Recess,
201812008443,Client Recess,
201812008442,Client Recess,
201812008441,Client Recess,
201812008440,Client Recess,
201812008439,Client Recess,
201812008438,Client Recess,
201812008437,Client Recess,
201812008436,Client Recess,
201812008435,Client Recess,
201812008434,Client Recess,
201812008433,Client Recess,
201812008432,Client Recess,
201812008431,Client Recess,
201812008430,Client Recess,
201812008429,Client Recess,
201812008428,Client Recess,
201812008427,Client Recess,
201812008426,Client Recess,
201812008425,Client Recess,
201812008424,Client Recess,
201812008423,Client Recess,
201812008422,Client Recess,
201812008420,Client Recess,1 - Client lost
201812008421,Client Recess,1 - Client lost
201812008417,Bank Recess,1 - Client lost
201812008415,Bank Recess,1 - Client lost
201812008412,Client Recess,2 - Keep bank account. Same dip
201812008408,Bank Recess,1 - Client lost
201812008404,Bank Recess,1 - Client lost
201812008398,Client Recess,1 - Client lost
201812008397,Client Recess,1 - Client lost
201812008395,Client Recess,1 - Client lost
201812008394,Bank Recess,1 - Client lost
201812008392,Bank Recess,1 - Client lost
201812008387,Client Recess,1 - Client lost
201812008385,Bank Recess,1 - Client lost
201812008384,Client Recess,1 - Client lost
201812008382,Bank Recess,
201812008381,Client Recess,1 - Client lost
201812008379,Client Recess,1 - Client lost
201812008377,Client Recess,2 - Keep bank account. Same dip
201812008375,Client Recess,1 - Client lost
201812008374,Client Recess,7 - Keep other relationships. Same dip
201812008372,Client Recess,1 - Client lost
201812008371,Client Recess,1 - Client lost
201812008370,Client Recess,1 - Client lost
201812008367,Bank Recess,
201812008366,Client Recess,2 - Keep bank account. Same dip
201812008364,Client Recess,2 - Keep bank account. Same dip
201812008363,Client Recess,2 - Keep bank account. Same dip
201812008362,Bank Recess,
201812008361,Client Recess,1 - Client lost
201812008360,Bank Recess,1 - Client lost
201812008356,Client Recess,1 - Client lost
201812008355,Client Recess,2 - Keep bank account. Same dip
201812008353,Bank Recess,1 - Client lost
201812008352,Bank Recess,1 - Client lost
201812008351,Client Recess,1 - Client lost
201812008348,Client Recess,2 - Keep bank account. Same dip
201812008347,Client Recess,2 - Keep bank account. Same dip
201812008346,Inheritance,
201812008344,Bank Recess,1 - Client lost
201812008343,Client Recess,
201812008342,Bank Recess,1 - Client lost
201812008341,Bank Recess,1 - Client lost
201812008339,Client Recess,2 - Keep bank account. Same dip
201812008338,Client Recess,1 - Client lost
201812008336,Client Recess,7 - Keep other relationships. Same dip
201812008333,Client Recess,1 - Client lost
201812008331,Bank Recess,1 - Client lost
201812008330,Client Recess,1 - Client lost
201812008329,Client Recess,2 - Keep bank account. Same dip
201812008328,Client Recess,1 - Client lost
201812008326,Client Recess,1 - Client lost
201812008324,Client Recess,1 - Client lost
201812008323,Client Recess,
201812008322,Inheritance,
201812008321,Client Recess,1 - Client lost
201812008320,Bank Recess,1 - Client lost
201812008318,Client Recess,2 - Keep bank account. Same dip
201812008317,Bank Recess,1 - Client lost
201812008316,Bank Recess,1 - Client lost
201812008312,Client Recess,1 - Client lost
201812008311,Client Recess,6 - Relationship changed
201812008309,Client Recess,1 - Client lost
201812008308,Client Recess,
201812008307,Client Recess,1 - Client lost
201812008306,Client Recess,1 - Client lost
201812008302,Client Recess,
201812008300,Client Recess,1 - Client lost
201812008299,Client Recess,1 - Client lost
201812008295,Bank Recess,1 - Client lost
201812008294,Bank Recess,1 - Client lost
201812008293,Bank Recess,1 - Client lost
201812008291,Client Recess,1 - Client lost
201812008290,Bank Recess,1 - Client lost
201812008288,Inheritance,
201812008281,Inheritance,
201812008280,Client Recess,1 - Client lost
201812008275,Client Recess,3 - Keep bank account. Different dip
201812008273,Client Recess,1 - Client lost
201812008271,Client Recess,1 - Client lost
201812008268,Client Recess,1 - Client lost
201812008267,Client Recess,1 - Client lost
201812008265,Client Recess,7 - Keep other relationships. Same dip
201812008264,Client Recess,1 - Client lost
201812008263,Client Recess,1 - Client lost
201812008259,Bank Recess,1 - Client lost
201812008261,Client Recess,7 - Keep other relationships. Same dip
201812008258,Client Recess,2 - Keep bank account. Same dip
201812008254,Client Recess,1 - Client lost
201812008252,Client Recess,1 - Client lost
201812008249,Client Recess,1 - Client lost
201812008248,Bank Recess,1 - Client lost
201812008244,Client Recess,1 - Client lost
201812008240,Client Recess,7 - Keep other relationships. Same dip
